Crosstable of the context with ID: 1
The Crosstable of the current context: X:Object has Attribute; -:Object does not have Attribute
                                   http://www.w3.org/2006/vcard/ https://schema.org/ http://d-nb.info/standards/elementset/ http://dbpedia.org/ontology/ http://xmlns.com/foaf/0.1/ http://www.loc.gov/mads/rdf/ https://d-nb.info/standards/elementset/ http://purl.org/vocab/relationship/ http://vocab.getty.edu/ http://www.ontotext.com/proton/ http://www.w3.org/1999/02/ http://www.w3.org/ns/ http://data.bnf.fr/vocabulary/roles/ http://id.loc.gov/vocabulary/relators/ http://gov.genealogy.net/ http://purl.org/ontology/po/ http://purl.org/ontology/mo/ 
http://www.wikidata.org/entity/P1  -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P2  -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P3  -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P4  -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P5  -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P6  -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P7  -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P8  -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P9  -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P10 X                             X                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P11 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P12 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P13 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P14 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P15 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P16 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P17 X                             X                   X                                      X                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P18 X                             X                   -                                      -                            X                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P19 -                             X                   -                                      X                            -                          X                            X                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P20 -                             X                   X                                      X                            -                          X                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P21 X                             X                   X                                      -                            X                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P22 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P23 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P24 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P25 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P26 X                             X                   -                                      X                            -                          -                            -                                       X                                   X                       X                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P27 -                             X                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P28 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P29 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P30 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P31 -                             -                   X                                      -                            -                          -                            -                                       -                                   -                       -                               X                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P32 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P33 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P34 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P35 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P36 -                             -                   -                                      -                            -                          -                            -                                       -                                   X                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P37 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P38 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P39 X                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          X                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P40 -                             X                   -                                      -                            -                          -                            -                                       -                                   X                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P41 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P42 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P43 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P44 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P45 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P46 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P47 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P48 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P49 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P50 -                             X                   X                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     X                                    X                                      X                         X                            -                            
http://www.wikidata.org/entity/P51 -                             X                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P52 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P53 X                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P54 X                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P55 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P56 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P57 -                             X                   X                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P58 -                             -                   X                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P59 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P60 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
